country,id,series,shot,year,month,day,time,site,lat,lon,height,groundheight,type,purpose,yieldmin,yieldmax,yieldest,yield,seismic,crater
usa,1,Trinity,Trinity,1945,7,16,11:29:21,NM,33.6753,-106.4747,30,,AS-T,WR,21,,,21,,152
usa,2,Alberta,Little Boy,1945,8,5,23:16:02,#NAME?,34.3914,132.4581,580,,A-AD,C,15,,,15,,
usa,3,Alberta,Fat Man,1945,8,9,1:58:00,#NAME?,32.7702,129.8657,503,,A-AD,C,21,,,21,,
usa,4,Crossroads,Able,1946,6,30,21:01:00,BK,11.58,165.5,158,,A-AD,WE,21,,,21,,
usa,6,Sandstone,X-ray,1948,4,14,18:16:59,EN,11.67,162.24,60,,AS-T,WR,37,,,37,,55
usa,7,Sandstone,Yoke,1948,4,30,18:08:59,EN,11.62,162.33,60,,AS-T,WR,49,,,49,,
usa,8,Sandstone,Zebra,1948,5,14,18:04:00,EN,11.56,162.35,60,,AS-T,WR,18,,,18,,
usa,9,Ranger,Able,1951,1,27,13:44:51,NTS-FF,36.8,-115.95,320,,A-AD,WR,1,,,1,,
usa,10,Ranger,Baker,1951,1,28,13:52:05,NTS-FF,36.8,-115.95,330,,A-AD,WR,8,,,8,,
usa,11,Ranger,Easy,1951,2,1,13:46:40,NTS-FF,36.8,-115.95,330,,A-AD,WR,1,,,1,,
usa,12,Ranger,Baker-2,1951,2,2,13:48:48,NTS-FF,36.8,-115.95,340,,A-AD,WR,8,,,8,,
usa,13,Ranger,Fox,1951,2,6,13:46:55,NTS-FF,36.8,-115.95,440,,A-AD,WR,22,,,22,,
usa,14,Greenhouse,Dog,1951,4,7,17:33:58,EN,11.5558,162.3544,91,,AS-T,WR,81,,,81,,238
usa,15,Greenhouse,Easy,1951,4,20,17:27:00,EN,11.6689,162.2403,91,,AS-T,WR,47,,,47,,255
usa,16,Greenhouse,George,1951,5,8,20:30:01,EN,11.6269,162.3147,62,,AS-T,WR,225,,,225,,347
usa,17,Greenhouse,Item,1951,5,24,17:16:59,EN,11.673,162.2486,62,,AS-T,WR,45.5,,,45.5,,
usa,18,Buster,Able,1951,10,22,14:00:00,NTS-YF,37.0839,-116.0239,30,,AS-T,WR,0,0.1,,0.05,,
usa,19,Buster,Baker,1951,10,28,15:20:09,NTS-YF,37.085,-116.02,340,,A-AD,WR,3.5,,,3.5,,
usa,20,Buster,Charlie,1951,10,30,15:00:30,NTS-YF,37.085,-116.0203,350,,A-AD,WR,14,,,14,,
usa,21,Buster,Dog,1951,11,1,15:30:02,NTS-YF,37.0847,-116.0197,430,,A-AD,WR,21,,,21,,
usa,22,Buster,Easy,1951,11,5,16:29:58,NTS-YF,37.0919,-116.0244,400,,A-AD,WR,31,,,31,,
usa,23,Jangle,Sugar,1951,11,19,17:00:00,NTS-YF,37.1317,-116.0386,1.1,,AS,WE,1.2,,,1.2,,27
usa,25,Tumbler,Able,1952,4,1,17:00:08,NTS-FF,36.7983,-115.9356,240,,A-AD,WE,1,,,1,,
usa,26,Tumbler,Baker,1952,4,15,17:29:57,NTS-YF,37.0842,-116.0194,340,,A-AD,WE,1,,,1,,
