country,id,series,shot,year,month,day,time,site,lat,lon,height,groundheight,type,purpose,yieldmin,yieldmax,yieldest,yield,seismic,crater
prc,1,,596,1964,10,16,7:00,LN,42.35,88.3,102,,AS-T,,20,22,22,22,,
prc,2,,,1965,5,14,2:00,LN,41.5,88.5,500,,A-AD,,20,40,35,35,,
prc,3,,,1966,5,9,8:00,LN,41.5,88.5,,,A-AD,,200,300,250,250,,
prc,4,,,1966,10,27,1:10,LN,41.5,88.5,569,,A-R,,12,30,12,12,,
prc,5,,,1966,12,28,4:00,LN,41.5,88.5,102,,AS-T,,300,500,122,300,,
prc,6,,,1967,6,17,0:19:08,LN-D,40.744,89.775,2960,,A-AD,,3000,3300,3300,3300,4.7,
prc,7,,,1967,12,24,4:00,LN,41.5,88.5,,,A-AD,,15,25,,20,,
prc,8,,,1968,12,27,7:30,LN,41.5,88.5,,,A-AD,,3000,,,3000,,
prc,10,,,1969,9,29,8:40:12,LN-D,40.722,89.515,,,A-AD,,3000,,3000,3000,4.37,
prc,11,,,1970,10,14,7:29:57,LN-D,40.52,89.779,,,A-AD,,3000,3400,3400,3400,4.6,
prc,12,,,1971,11,18,6:00,LN,41.5,88.5,,,AS-T,,15,20,,20,,
prc,13,,,1972,1,7,7:00,LN,41.5,88.5,,,A-AD,,8,20,,8,,
prc,14,,,1972,3,18,6:00,LN,41.5,88.5,,,A-AD,,100,200,,170,,
prc,15,,,1973,6,27,3:59:46,LN-D,40.7985,89.8091,,,A-AD,,2000,3000,3000,3000,4.8,
prc,16,,,1974,6,17,5:59:53,LN-D,40.518,89.619,,,A,,200,1000,1000,1000,4.5,
prc,18,,,1976,1,23,6:00,LN,41.5,88.5,,,A,,0,20,,,,
prc,19,,,1976,9,26,6:00,LN,41.5,88.5,,,A,,200,,,200,,
prc,21,,,1976,11,17,6:00:13,LN-D,40.696,89.627,,,A-AD,,4000,,4000,4000,4.7,
prc,22,,,1977,9,17,7:00,LN,41.5,88.5,,,A,,0,20,,,,
prc,23,,,1978,3,15,5:00,LN,41.5,88.5,,,A,,6,20,,11,,
prc,25,,,1978,12,14,,LN,41.5,88.5,,,A,,0,20,,,,
prc,28,,,1980,10,16,4:30:30,LN-D,40.719,89.651,,,A,,200,1000,1000,1000,4.44,
