country,id,series,shot,year,month,day,time,site,lat,lon,height,groundheight,type,purpose,yieldmin,yieldmax,yieldest,yield,seismic,crater
fr,1,Gerboise,Gerboise Bleue,1960,2,13,7:04,AL-R,26.3117,-0.0572,105,,AS-T,WE,60,7,0,65,,
fr,2,Gerboise,Gerboise Blanche,1960,4,1,6:17,AL-R,26.1661,-0.1025,0,,AS,WR,0,2,0,10,,C
fr,3,Gerboise,Gerboise Rouge,1960,12,27,7:30,AL-R,26.3536,-0.1236,50,,AS-T,WE,0,1,0    3,3,,
fr,4,Gerboise,Gerboise Verte,1961,4,25,6:00,AL-R,26.3217,-0.0733,50,,AS-T,,0,,1,0.5,,
fr,18,1966,Aldebaran,1966,7,2,15:34,PMU-L,-21.87,-139,10,-35,AW-BG,WR,28,,,28,,
fr,19,1966,Tamoure,1966,7,19,15:05,PMU,-21.8,-138.9,1000,,A-AD,WR,50,,,50,,
fr,20,1966,Ganymede            X,1966,7,21,12:00,PMU-CO,-21.79,-138.91,12,,AS,SE,0,,,0,,
fr,21,1966,Betelguese,1966,9,11,17:30,PMU-DE,-21.83,-138.88,470,,A-B,WR,110,,,110,,
fr,22,1966,Rigel,1966,9,24,17:00,PFA-FR,-22.23,-138.73,3,-35,AW-BG,WR,125,,,125,,
fr,23,1966,Sirus,1966,10,4,21:00,PMU-DI,-21.87,-139,10,-35,AW-BG,WR,205,,,205,,
fr,24,1967,Altair,1967,6,5,19:00,PMU-DE,-21.789,-138.895,295,,A-B,WR,15,,,15,,
fr,25,1967,Antares,1967,6,27,18:30,PMU-DI,-21.865,-139,340,,A-B,WR,120,,,120,,
fr,26,1967,Arcturus,1967,7,2,17:30,PMU-DE,-21.795,-138.892,3,-35,AW-BG,WR,22,,,22,,
fr,27,1968,Capella,1968,7,7,22:00,PMU-DE,-21.83,-138.88,463,,A-B,WR,115,,,115,,
fr,28,1968,Castor,1968,7,15,19:00,PMU-DI,-21.83,-138.88,650,,A-B,WR,450,,,450,,
fr,29,1968,Pollux,1968,8,3,21:00,PMU-DE,-21.83,-138.88,490,,A-B,WR,150,,,150,,
fr,30,1968,Canopus,1968,8,24,18:30:01,PFA-FR,-22.228,-138.644,520,,A-B,WR,2600,,1000,2600,4.95,
fr,31,1968,Procyon,1968,9,8,19:00:01,PMU-DI,-21.821,-138.975,700,,A-B,WR,1280,,1000,1280,4.91,
fr,32,1970,Andromede,1970,5,15,18:00,PMU-DE,-21.83,-138.88,220,,A-B,WR,13,,,13,,
