country,id,series,shot,year,month,day,time,site,lat,lon,height,groundheight,type,purpose,yieldmin,yieldmax,yieldest,yield,seismic,crater
ussr,1,1949,1 Pervaya Molniya (Joe 1),1949,8,29,0:00,STS-GZ,50.44,77.82,30,,AS-T,WR,22,,20,22,,
ussr,2,1950,X,1950,,,,STS,50,78,,,AS-T,,,,0,0,,
ussr,3,1951,2 Vtoraya Molniya (Joe 2),1951,9,24,6:19,STS,50,78,30,,AS-T,WR,38,,38.3,38.3,,
ussr,4,1951,3 (Joe 3),1951,10,18,3:53,STS,50,78,380,,A-AD,WR,42,,41.2,42,,
ussr,5,1953,4 (Joe 4),1953,8,12,,STS,50,78,30,,AS-T,WR,400,,250,400,,C
ussr,6,1953,5 (Joe 5),1953,8,23,2:00,STS,50,78,600,,A-AD,WR,28,,,28,,
ussr,7,1953,6 (Joe 6?),1953,9,3,,STS,50,78,255,,A,WR,5.8,,,5.8,,
ussr,8,1953,7,1953,9,8,,STS,50,78,220,,A,WR,1.6,,,1.6,,
ussr,9,1953,8 (Joe 7?),1953,9,10,,STS,50,78,220,,A,WR,4.9,,,4.9,,
ussr,10,1954,9 (Joe 8?),1954,9,14,6:33,#NAME?,52.6,52.84,350,,A-AD,ME,40,,,40,,
ussr,11,1954,10,1954,9,29,,STS,50,78,210,,A,WR,0.2,,,0.2,,
ussr,12,1954,11,1954,10,1,,STS,50,78,105,,A,WR,0.03,,,0.03,,
ussr,13,1954,12 (Joe 9?),1954,10,3,,STS,50,78,130,,A,WR,2,,,2,,
ussr,14,1954,13 (Joe 10?),1954,10,5,3:00,STS,50,78,0,,AS,WR,4,,,4,,
ussr,15,1954,14 (Joe 11?),1954,10,8,,STS,50,78,295,,A,WR,0.8,,,0.8,,
ussr,16,1954,15,1954,10,19,,STS,50,78,15,,AS-T,WR,0,0.001,,0.001,,
ussr,17,1954,16 (Joe 12?),1954,10,23,,STS,50,78,410,,A,WR,62,,,62,,
ussr,18,1954,17 (Joe 13?),1954,10,26,,STS,50,78,110,,A,WR,2.8,,,2.8,,
ussr,19,1954,18 (Joe 14?),1954,10,30,4:00,STS,50,78,55,,AS-AD,WR,10,,,10,,
ussr,20,1955,X,1955,2,20,,,,,,,A-R,,,,0,0,,
ussr,21,1955,19 (Joe 15),1955,7,29,2:00,STS,50,78,2.5,,AS,WR,1.3,,5,1.3,,
ussr,22,1955,20 (Joe 16),1955,8,2,3:00,STS,50,78,2.5,,AS,WR,12,,25,12,,
ussr,23,1955,21,1955,8,5,,STS,50,78,1.5,,AS,WR,1.2,,,1.2,,
ussr,25,1955,X,1955,9,21,,STS,50,78,,,AS,,,,0.001,0,,
ussr,26,1955,23 (Joe 18),1955,11,6,4:50,STS,50,78,1000,,A,WR,250,,215,250,,
ussr,27,1955,24 (Joe 19),1955,11,22,,STS,50,78,1550,,A-AD,WR,1600,,1600,1600,,
ussr,28,1956,25,1956,2,2,,MTR,46,62,,,AS-R,WE,0.3,,,0.3,,
ussr,29,1956,26,1956,3,16,5:00,STS,50,78,0.4,,AS,WR,14,,,14,,
ussr,30,1956,27,1956,3,25,,STS,50,78,1,,AS,WR,5.5,,,5.5,,
ussr,31,1956,28,1956,8,24,0:15,STS,50,78,93,,AS-T,WR,27,,,27,,
ussr,32,1956,29,1956,8,30,,STS,50,78,1100,,A,WR,900,,,900,,
ussr,33,1956,30,1956,9,2,,STS,50,78,1050,,A,WR,51,,,51,,
ussr,34,1956,31,1956,9,10,,STS,50,78,270,,A,WR,38,,,38,,
ussr,35,1956,32,1956,11,17,,STS,50,78,2000,,A,WR,900,,,900,,
ussr,36,1956,33,1956,12,14,,STS,50,78,1965,,A,WR,40,,,40,,
ussr,37,1957,34,1957,1,19,,MTR,49,46,10370,,A-R,WE,10,,,10,,
ussr,38,1957,35,1957,3,8,,STS,50,78,610,,A,WR,19,,,19,,
ussr,39,1957,36,1957,4,3,,STS,50,78,1100,,A,WR,42,,,42,,
ussr,40,1957,37,1957,4,6,,STS,50,78,1145,,A,WR,57,,,57,,
ussr,41,1957,38,1957,4,10,,STS,50,78,2000,,A,WR,680,,,680,,
