Year,Deaths per KT,China Yield KT,China Population,China Death Percent,France Yield KT,France Population,France Death Percent,United Kingdom Yield KT,United Kingdom Population,United Kingdom Death Percent,United StatesKT,United States Population,United States Death Percent,USSR Yield KT,USSR Population,USSR Death Percent,Global Yield KT,Global Population,Global Death Percent
1945,5405,0,,0,0,,0,0,,0,57,139928165,0.2,0,,0,57,,0
1946,5405,0,,0,0,,0,0,,0,21,141388566,0.1,0,,0,21,,0
1948,5405,0,,0,0,,0,0,,0,104,146631302,0.4,0,,0,104,,0
1949,5405,0,,0,0,,0,0,,0,0,,0,22,101160000,0.1,22,,0
1950,5405,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0
1951,5405,0,,0,0,,0,0,,0,509,154877889,1.8,80,104439000,0.4,590,2572851000,0.12
1952,5405,0,,0,0,,0,25,50429200,0.3,11004,157552740,37.8,0,,0,11029,2619292000,2.28
1953,5405,0,,0,0,,0,18,50592900,0.2,252,160184192,0.9,440,107828000,2.2,711,2665865000,0.14
1954,5405,0,,0,0,,0,0,,0,48200,163025854,159.8,122,109643000,0.6,48322,2713172000,9.63
1955,5405,0,,0,0,,0,0,,0,166,165931202,0.5,1865,111572000,9.0,2031,2761651000,0.40
1956,5405,0,,0,0,,0,143,51183500,1.5,20820,168903031,66.6,1976,113327000,9.4,22938,2811572000,4.41
1957,5405,0,,0,0,,0,3054,51430200,32.1,343,171984130,1.1,6233,115035000,29.3,9629,2863043000,1.82
1958,5405,0,,0,0,,0,4849,51652600,50.7,35634,174881904,110.1,16252,116749000,75.2,56734,2916030000,10.52
1960,5405,0,,0,78,46621669,0.9,0,,0,0,,0,0,,0,78,3026003000,0.01
1961,5405,0,,0,1,47240543,0.0,0,,0,0,,0,95698,121586000,425.4,95699,3082830000,16.78
1962,5405,0,,0,0,,0,0,,0,36830,186537737,106.7,141547,123128000,621.4,178377,3141072000,30.69
1963,5405,0,,0,0,,0,0,,0,0,,0,0,,0,0,3201178000,0.00
1964,5405,22,698355000,0.0,0,,0,0,,0,0,,0,0,,0,22,3263739000,0.00
1965,5405,35,715185000,0.0,0,,0,0,,0,0,,0,0,,0,35,3329122000,0.01
1966,5405,562,735400000,0.4,518,50330262,5.6,0,,0,0,,0,0,,0,1080,3397475000,0.17
1967,5405,3320,754550000,2.4,157,50775794,1.7,0,,0,0,,0,0,,0,3477,3468522000,0.54
1968,5405,3000,774510000,2.1,4595,51175508,48.5,0,,0,0,,0,0,,0,7595,3541675000,1.16
1969,5405,3000,796025000,2.0,0,,0,0,,0,0,,0,0,,0,3000,3616109000,0.45
1970,5405,3400,818315000,2.2,2774,51957738,28.9,0,,0,0,,0,0,,0,6174,3691173000,0.90
1971,5405,20,841105000,0.0,1442,52371342,14.9,0,,0,0,,0,0,,0,1462,3766754000,0.21
1972,5405,178,862030000,0.1,11,52793138,0.1,0,,0,0,,0,0,,0,189,3842874000,0.03
1973,5405,3000,881940000,1.8,22,53207734,0.2,0,,0,0,,0,0,,0,3022,3919182000,0.42
1974,5405,1000,900350000,0.6,608,53592233,6.1,0,,0,0,,0,0,,0,1608,3995305000,0.22
1976,5405,4200,930685000,2.4,0,,0,0,,0,0,,0,0,,0,4200,4146136000,0.55
1977,5405,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0
1978,5405,11,956165000,0.0,0,,0,0,,0,0,,0,0,,0,11,4295665000,0.00
1980,5405,1000,981235000,0.6,0,,0,0,,0,0,,0,0,,0,1000,4449049000,0.12
