Year,China Year,China Yield KT,China Death Percent,France Year,France Yield KT,France Death Percent,UK Year,United Kingdom Yield KT,United Kingdom Death Percent,US Year,United StatesKT,United States Death Percent,USSR Year,USSR Yield KT,USSR Death Percent,Global Year,Global Yield KT,Global Death Percent
1945,1964,22,0.017027157,,,,,,,1945,57,0.220173687,,,,1945,57,
1946,1965,35,0.026451198,,,,,,,1946,21,0.080278769,,,,1946,21,
1948,1966,562,0.41305548,,,,,,,1948,104,0.383356072,,,,1948,104,
1949,1967,3320,2.378185674,,,,,,,,,,1949,22,0.117546461,1949,22,
1950,1968,3000,2.093581748,,,,,,,,,,,,,,,
1951,1969,3000,2.036996325,,,,,,,1951,509.25,1.777204137,1951,80.3,0.415574163,1951,589.55,0.123851624
1952,1970,3400,2.245712226,,,,1952,25,0.267949918,1952,11004,37.75029238,,,,1952,11029,2.27587245
1953,1971,20,0.012852141,,,,1953,18,0.19229971,1953,252.4,0.851658321,1953,440.3,2.207053363,1953,710.7,0.144093324
1954,1972,178,0.111607485,,,,,,,1954,48200,159.8034874,1954,121.831,0.600582395,1954,48321.831,9.626352349
1955,1973,3000,1.838560446,,,,,,,1955,166,0.540724101,1955,1864.5,9.03239388,1955,2030.5,0.397401862
1956,1974,1000,0.600322097,,,,1956,142.5,1.504806236,1956,20820.19,66.62587775,1956,1975.8,9.423349246,1956,22938.49,4.409723046
1957,1976,4200,2.439171148,,,,1957,3053.53,32.09073589,1957,342.5375,1.076503505,1957,6233,29.28618681,1957,9629.0675,1.817824945
1958,1978,11,0.006218069,,,,1958,4849,50.74061131,1958,35633.5462,110.1310729,1958,16251.711,75.23875832,1958,56734.2572,10.51596383
1960,1980,1000,0.550836446,1960,78,0.904279081,,,,,,,,,,1960,78,0.01393224
1961,,,,1961,0.5,0.005720722,,,,,,,,95698.135,425.4177452,1961,95698.635,16.77845104
1962,,,,,,,,,,1962,36830.2,106.7168682,1962,141547.279,621.3558598,1962,178377.479,30.69430672
1963,,,,,,,,,,,,,,,,,,
1964,,,,,,,,,,,,,,,,1964,22,0.003643367
1965,,,,,,,,,,,,,,,,1965,35,0.005682429
1966,,,,1966,518,5.562836132,,,,,,,,,,1966,1080,0.171815834
1967,,,,1967,157,1.671239252,,,,,,,,,,1967,3477,0.541821127
1968,,,,1968,4595,48.53097892,,,,,,,,,,1968,7595,1.159083626
1969,,,,,,,,,,,,,,,,1969,3000,0.448410156
1970,,,,1970,2774.05,28.8575693,,,,,,,,,,1970,6174.05,0.904068713
1971,,,,1971,1442,14.88220409,,,,,,,,,,1971,1462,0.209785667
1972,,,,1972,10.501,0.107510004,,,,,,,,,,1972,188.501,0.026512654
1973,,,,1973,21.85,0.221958804,,,,,,,,,,1973,3021.85,0.416747659
1974,,,,1974,608.001,6.13194342,,,,,,,,,,1974,1608.001,0.217536469
1976,,,,,,,,,,,,,,,,1976,4200,0.547521837
1977,,,,,,,,,,,,,,,,,,
1978,,,,,,,,,,,,,,,,1978,11,0.00138407
1980,,,,,,,,,,,,,,,,1980,1000,0.121486637
